ticker,date,open,high,low,current_price,volume,change,change_rate,name,market
AAPL,2020-01-02 05:00:00+00:00,71.47659213409148,72.52857392672578,71.22325176244068,72.46825408935547,135480400,,,Apple,S&P500
AAPL,2020-01-03 05:00:00+00:00,71.696182592324,72.52376928666806,71.53935243232584,71.76374053955078,146322800,-0.7045135498046875,-0.9721685152453086,Apple,S&P500
AAPL,2020-01-06 05:00:00+00:00,70.8854943757732,72.37418451551846,70.63456167650634,72.33557891845703,118387200,0.57183837890625,0.7968346892273548,Apple,S&P500
AAPL,2020-01-07 05:00:00+00:00,72.34522736157655,72.60098298229356,71.77581141002224,71.99537658691406,108872000,-0.3402023315429687,-0.4703112031860246,Apple,S&P500
AAPL,2020-01-08 05:00:00+00:00,71.69858142215591,73.45509501348069,71.69858142215591,73.15349578857422,132079200,1.1581192016601562,1.6086021860890698,Apple,S&P500
AAPL,2020-01-09 05:00:00+00:00,74.13066002589181,74.90034168837741,73.87973482074321,74.70732116699219,170108400,1.5538253784179688,2.124061689285206,Apple,S&P500
AAPL,2020-01-10 05:00:00+00:00,74.94137847897954,75.44082857328132,74.37437045138542,74.87622833251953,140644800,0.1689071655273437,0.2260918513592447,Apple,S&P500
AAPL,2020-01-13 05:00:00+00:00,75.19231323252647,76.50245856347271,75.07408132346671,76.47591400146484,121532000,1.5996856689453125,2.1364399684252744,Apple,S&P500
AAPL,2020-01-14 05:00:00+00:00,76.4131928848304,76.62310479558539,75.32019744072484,75.44324493408203,161954400,-1.0326690673828125,-1.350319353310414,Apple,S&P500
AAPL,2020-01-15 05:00:00+00:00,75.2429736592525,76.12364189473249,74.6880266854858,75.11991882324219,121923600,-0.3233261108398437,-0.428568669232543,Apple,S&P500
AAPL,2020-01-16 05:00:00+00:00,75.66281115173265,76.17191454820045,75.30089202786714,76.06092071533203,108829200,0.9410018920898438,1.2526662792381682,Apple,S&P500
AAPL,2020-01-17 05:00:00+00:00,76.30941686178534,76.90537714681764,76.00299474011516,76.90296936035156,137816400,0.8420486450195312,1.1070713279569766,Apple,S&P500
AAPL,2020-01-21 05:00:00+00:00,76.53141272712692,76.97295078497612,76.2442896548719,76.38182067871094,110843200,-0.521148681640625,-0.6776704280411217,Apple,S&P500
AAPL,2020-01-22 05:00:00+00:00,76.86677674803076,77.20698153576836,76.56035460570881,76.65445709228516,101832400,0.2726364135742187,0.35693887780055,Apple,S&P500
AAPL,2020-01-23 05:00:00+00:00,76.70753760258107,77.1032319252794,76.15982874124028,77.02361297607422,104472000,0.3691558837890625,0.4815843693793731,Apple,S&P500
AAPL,2020-01-24 05:00:00+00:00,77.26972598534742,78.01286327957854,76.61103058846822,76.80164337158203,146537600,-0.2219696044921875,-0.2881838385861424,Apple,S&P500
AAPL,2020-01-27 05:00:00+00:00,74.81108286986905,75.22366854186772,73.56125746709372,74.54326629638672,161940000,-2.2583770751953125,-2.940532228286863,Apple,S&P500
AAPL,2020-01-28 05:00:00+00:00,75.42392754574348,76.82334485387435,75.32500212699546,76.65203857421875,162234000,2.1087722778320312,2.828923902324698,Apple,S&P500
AAPL,2020-01-29 05:00:00+00:00,78.28309821074268,79.103446634538,77.54236874294361,78.25655364990234,216229200,1.6045150756835938,2.0932451445893507,Apple,S&P500
AAPL,2020-01-30 05:00:00+00:00,77.33967814541826,78.19621681768791,76.90778608498486,78.14313507080078,126743200,-0.1134185791015625,-0.1449317326302934,Apple,S&P500
AAPL,2020-01-31 05:00:00+00:00,77.43380507723946,77.85604407632879,74.38403693557139,74.67839813232422,199588400,-3.4647369384765625,-4.433834060199116,Apple,S&P500
AAPL,2020-02-03 05:00:00+00:00,73.42133019707448,75.63868882615688,72.919472204784,74.47331237792969,173788400,-0.2050857543945312,-0.2746252725334797,Apple,S&P500
AAPL,2020-02-04 05:00:00+00:00,76.07779194419663,77.1225356625265,75.67244439973094,76.93192291259766,136616400,2.4586105346679688,3.301330981749895,Apple,S&P500
AAPL,2020-02-05 05:00:00+00:00,78.05869253554688,78.35788393608293,76.95605150390088,77.55924987792969,118826800,0.6273269653320312,0.8154312820761511,Apple,S&P500
AAPL,2020-02-06 05:00:00+00:00,77.8295026141326,78.46889159082244,77.27214775489887,78.46647644042969,105425600,0.9072265625,1.1697206508932023,Apple,S&P500
AAPL,2020-02-07 05:00:00+00:00,77.96582750464246,78.2149347676415,76.90893545307632,77.39989471435547,117684000,-1.0665817260742188,-1.3592833200353427,Apple,S&P500
AAPL,2020-02-10 05:00:00+00:00,75.98506881434587,77.76751708984375,75.90526089218041,77.76751708984375,109348800,0.3676223754882812,0.4749649555015445,Apple,S&P500
